customer_id,purchase_date,channel,age,basket_value,quantity,email,city,note,age_isna,channel_isna,age_imputed_mean,age_imputed_ffill,age_imputed_bfill,email_valid,note_clean,basket_iqr_outlier,basket_z_outlier,basket_value_raw,basket_value_capped,region,month
1043,2024-09-23,Mobile,50.0,20.730943771250143,3.0,user9598@mail.test,Wenzhou,★ loyal ★,0,0,50.0,50.0,50.0,True, loyal ,False,False,20.730943771250143,20.730943771250143,Zhejiang South,2024-09
1056,2024-09-08,Mobile,30.0,,,user1357@example.com,Wenzhou,promo#2024,0,0,30.0,30.0,30.0,True,promo2024,,False,,,Zhejiang South,2024-09
1050,,Web,16.0,35.78059592617821,6.0,user8431@example.com,Wenzhou,,0,0,16.0,16.0,16.0,True,,False,False,35.78059592617821,35.78059592617821,Zhejiang South,
1015,,Web,18.0,60.76571864990895,2.0,user5218@example.com,Unknown, VIP ,0,0,18.0,18.0,18.0,True,vip,False,False,60.76571864990895,60.76571864990895,Unknown,
1016,,Unknown,23.0,7.71,6.0,user4995@example.com,Shaoxing,  ,0,1,23.0,23.0,23.0,True,,False,False,7.71,7.71,Zhejiang South,
1001,,Unknown,34.0,,6.0,user2535@example.com,Wenzhou,RETURNS??,0,1,34.0,34.0,34.0,True,returns,,False,,,Zhejiang South,
1056,2024-09-04,Mobile,17.0,21.21,,user1647@example.com,Wenzhou,  ,0,0,17.0,17.0,17.0,True,,False,False,21.21,21.21,Zhejiang South,2024-09
1047,,Unknown,65.0,42.88026924592042,3.0,user5064@mail.test,Hangzhou,,0,1,65.0,65.0,65.0,True,,False,False,42.88026924592042,42.88026924592042,Zhejiang North,
1054,2024-09-13,Unknown,55.0,47.559830897627016,6.0,user4895@ gmail.com,Hangzhou,RETURNS??,0,1,55.0,55.0,55.0,False,returns,False,False,47.559830897627016,47.559830897627016,Zhejiang North,2024-09
1031,,Mobile,36.0,37.1510112161925,2.0,user9811@example.com,Wenzhou,★ loyal ★,0,0,36.0,36.0,36.0,True, loyal ,False,False,37.1510112161925,37.1510112161925,Zhejiang South,
